run_id,date,sma_period,rsi_period,vol_period,total_signals,buy_signals,sell_signals,profit
20250408_201355,2025-04-08,210,14,20,294,10,12,-47.8
20250408_201357,2025-04-08,220,14,20,284,36,21,-87.56
20250408_201400,2025-04-08,230,14,20,274,60,31,-92.62
20250408_201403,2025-04-08,240,14,20,264,71,51,-66.29
20250408_201406,2025-04-08,250,14,20,254,80,74,-176.43
20250408_201409,2025-04-08,260,14,20,244,85,98,-164.8
20250408_201412,2025-04-08,270,14,20,234,83,120,-81.03
20250408_201415,2025-04-08,280,14,20,224,84,132,-87.78
20250408_201418,2025-04-08,290,14,20,214,77,135,-46.57
20250408_201420,2025-04-08,300,14,20,204,69,135,-14.46
20250408_201815,2025-04-08,310,14,20,194,65,129,-111.24
20250408_201818,2025-04-08,320,14,20,184,57,127,-104.55
20250408_201820,2025-04-08,330,14,20,174,47,127,-95.39
20250408_201823,2025-04-08,340,14,20,164,42,122,-32.53
20250408_201826,2025-04-08,350,14,20,154,43,111,-30.98
20250408_201829,2025-04-08,360,14,20,144,43,101,-30.98
20250408_201831,2025-04-08,370,14,20,134,45,89,-14.77
20250408_201834,2025-04-08,380,14,20,124,46,78,-14.09
20250408_201837,2025-04-08,390,14,20,114,46,68,-14.09
20250408_201840,2025-04-08,400,14,20,104,38,66,-44.63
20250408_202200,2025-04-08,485,14,29,19,0,19,0.0
20250408_202203,2025-04-08,370,14,20,134,45,89,-14.77
20250408_202206,2025-04-08,428,14,8,76,11,65,-34.4
20250408_202209,2025-04-08,424,14,5,80,15,65,-21.05
20250408_202212,2025-04-08,430,14,5,74,9,65,-35.14
20250408_202214,2025-04-08,500,14,13,4,0,4,0.0
20250408_202217,2025-04-08,442,14,43,62,0,62,0.0
20250408_202219,2025-04-08,397,14,30,107,41,62,-33.28
20250408_202222,2025-04-08,475,14,42,29,0,29,0.0
20250408_202225,2025-04-08,500,14,31,4,0,2,0.0
20250408_202227,2025-04-08,500,14,30,4,0,0,0.0
20250408_202230,2025-04-08,419,14,5,85,19,66,-11.61
20250408_202233,2025-04-08,459,14,20,45,0,45,0.0
20250408_202235,2025-04-08,452,14,6,52,0,50,0.0
20250408_202238,2025-04-08,412,14,16,92,26,62,-25.91
20250408_202241,2025-04-08,500,14,22,4,0,2,0.0
20250408_202243,2025-04-08,500,14,45,4,0,3,0.0
20250408_202246,2025-04-08,493,14,37,11,0,7,0.0
20250408_202249,2025-04-08,493,14,24,11,0,11,0.0
20250408_202252,2025-04-08,500,14,22,4,0,0,0.0
20250408_202254,2025-04-08,492,14,38,12,0,0,0.0
20250408_202257,2025-04-08,500,14,23,4,0,2,0.0
20250408_202300,2025-04-08,500,14,27,4,0,4,0.0
20250408_202303,2025-04-08,408,14,24,96,30,49,-42.56
20250408_202306,2025-04-08,483,14,5,21,0,5,0.0
20250408_202309,2025-04-08,409,14,43,95,29,17,-40.0
20250408_202312,2025-04-08,500,14,56,4,0,0,0.0
20250408_202314,2025-04-08,416,14,41,88,22,6,-59.57
20250408_202316,2025-04-08,500,14,34,4,0,0,0.0
20250408_202320,2025-04-08,500,14,24,4,0,0,0.0
20250408_202322,2025-04-08,500,14,63,4,0,0,0.0
20250408_202325,2025-04-08,405,14,41,99,33,46,-22.63
20250408_202327,2025-04-08,476,14,56,28,0,14,0.0
20250408_202329,2025-04-08,481,14,72,23,0,22,0.0
20250408_202332,2025-04-08,412,14,63,92,26,21,-25.91
20250408_202335,2025-04-08,466,14,48,38,0,3,0.0
20250408_202337,2025-04-08,500,14,74,4,0,0,0.0
20250408_202339,2025-04-08,500,14,69,4,0,2,0.0
20250408_202342,2025-04-08,478,14,53,26,0,20,0.0
20250408_202344,2025-04-08,413,14,50,91,25,3,-101.75
20250408_202348,2025-04-08,389,14,33,115,46,40,-14.09
20250408_202351,2025-04-08,432,14,29,72,7,48,-40.52
20250408_202354,2025-04-08,500,14,51,4,0,0,0.0
20250408_202356,2025-04-08,443,14,32,61,0,39,0.0
20250408_202359,2025-04-08,413,14,36,91,25,0,0.0
20250408_202402,2025-04-08,439,14,49,65,0,20,0.0
20250408_202404,2025-04-08,447,14,47,57,0,0,0.0
20250408_202407,2025-04-08,468,14,44,36,0,12,0.0
20250408_202410,2025-04-08,500,14,36,4,0,0,0.0
20250408_202413,2025-04-08,427,14,63,77,12,0,0.0
20250408_203152,2025-04-08,150,14,30,354,7,119,-32.84
20250408_203155,2025-04-08,35,14,10,469,72,61,143.75
20250408_203157,2025-04-08,185,14,30,319,0,142,0.0
20250408_203200,2025-04-08,150,14,95,354,0,10,0.0
20250408_203203,2025-04-08,175,14,65,329,0,165,0.0
20250408_203206,2025-04-08,170,14,75,334,45,164,-164.81
20250408_203209,2025-04-08,235,14,45,269,74,31,-104.88
20250408_203212,2025-04-08,210,14,50,294,0,0,0.0
20250408_203214,2025-04-08,230,14,85,274,77,0,0.0
20250408_203216,2025-04-08,80,14,30,424,71,0,0.0
20250408_203219,2025-04-08,130,14,65,374,175,2,42.64
20250408_203221,2025-04-08,115,14,100,389,176,203,-53.61
20250408_203223,2025-04-08,90,14,100,404,0,23,0.0
20250408_203225,2025-04-08,140,14,20,364,0,6,0.0
20250408_203228,2025-04-08,255,14,50,249,104,72,-198.51
20250408_203231,2025-04-08,185,14,40,319,0,2,0.0
20250408_203234,2025-04-08,180,14,55,324,10,156,-45.66
20250408_203237,2025-04-08,270,14,85,234,0,134,0.0
20250408_203239,2025-04-08,170,14,30,334,0,45,0.0
20250408_203242,2025-04-08,25,14,85,419,0,221,0.0
20250408_203245,2025-04-08,15,14,5,489,203,0,0.0
20250408_203248,2025-04-08,50,14,65,439,191,0,0.0
20250408_203250,2025-04-08,50,14,10,454,166,0,0.0
20250408_203253,2025-04-08,110,14,65,394,173,123,-46.82
20250408_203255,2025-04-08,50,14,75,429,208,0,0.0
20250408_203257,2025-04-08,80,14,20,424,156,7,2.38
20250408_203300,2025-04-08,295,14,60,209,5,35,-38.93
20250408_203303,2025-04-08,115,14,75,389,170,4,43.14
20250408_203306,2025-04-08,35,14,75,429,0,164,0.0
20250408_203308,2025-04-08,5,14,40,464,181,0,0.0
